№,級,給料月額,扶養手当月額,地域手当月額,住居手当月額,通勤手当月額,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
10,”05,387184,0,46462,18100,0,1800,0,0,0,0,0,0,453546,1239468,643570,7325590
11,”05,392513,0,47101,18100,5000,2700,7004,0,0,0,0,0,472418,1252385,650276,7571677
13,”07,395111,7800,57196,15300,21463,0,0,0,0,73737,0,0,570607,1336377,682094,8865755
15,”05,384005,0,46080,30100,7400,1800,0,0,0,0,0,0,469385,1219680,633294,7485594
16,”05,394757,0,47370,18100,5000,3420,10566,41833,7040,0,0,0,528086,1265430,657050,8259512
17,”05,394757,14000,49050,15300,21528,7350,21836,0,10560,0,0,0,534381,1306198,657050,8375820
18,”05,396253,0,47550,0,7400,3600,10605,0,7070,0,0,0,472478,1268609,658700,7597045
19,”05,390830,0,46899,15300,5000,16460,29839,30120,0,0,0,0,534448,1251556,649846,8314778
21,”05,397001,0,47640,0,10329,2700,0,0,0,0,0,0,457670,1265867,657276,7415183
22,”08,417878,11200,60887,15300,9800,0,0,0,0,78322,0,0,593387,1415629,718102,9254375
23,”05,397001,0,47640,0,2900,0,0,0,0,0,0,0,447541,1265867,657276,7293635
24,”06,406166,0,48739,18100,2900,0,3623,0,0,0,0,0,479528,1291250,670456,7716042
26,”06,403463,7800,49351,0,15606,0,0,0,0,0,0,0,476220,1304750,665672,7685062
27,”07,395917,12800,57894,18100,3876,0,0,0,0,73737,0,0,562324,1348727,680946,8777561
28,”06,402065,14000,49927,15300,12550,0,0,0,0,0,0,0,493842,1319972,664202,7910278
29,”06,400388,21800,50662,15300,13547,0,48438,0,0,0,0,0,550135,1339316,662452,8603388
30,”08,418595,14000,61310,15300,26986,0,0,0,0,78322,0,0,614513,1426120,719318,9519594
31,”05,393261,39600,51943,15300,5000,8360,22452,18945,13338,0,0,0,568199,1373231,653148,8844767
32,”06,400388,14000,49726,15300,7248,2690,0,11574,7854,0,0,0,508780,1322104,665308,8092772
33,”07,393766,0,56100,15300,17383,220,0,0,0,73737,0,0,556506,1306777,678518,8663367
34,”05,397001,0,47640,0,2900,0,31878,0,0,0,0,0,479419,1261119,654812,7668959
35,”05,396253,0,47550,18100,7380,0,102515,0,0,0,0,0,571798,1258735,653574,8773885
36,”05,393261,14000,48871,18100,5000,0,14032,0,0,0,0,0,493264,1327234,648618,7895020
37,”06,400388,0,48046,18100,5000,0,28576,0,0,0,0,0,500110,1275834,662452,7939606
38,”05,396253,0,47550,0,18061,0,33515,0,0,0,0,0,495379,1268609,658700,7871857
39,”06,400388,0,48046,18100,5000,0,0,0,0,0,0,0,471534,1275834,662452,7596694
40,”05,396253,0,47550,15300,14874,0,14140,0,0,0,0,0,488117,1268609,658700,7784713
41,”05,385220,0,46226,15300,7400,13300,0,0,0,0,0,0,467446,1232451,639926,7481729
43,”05,393261,14000,48871,18100,2900,0,0,0,0,0,0,0,477132,1289961,648618,7664163
