№,級,給料月額,扶養手当月額,地域手当月額,住居手当月額,通勤手当月額,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
44,”05,394009,0,47281,15300,5000,0,35992,0,0,0,0,0,497582,1261093,589318,7821395
45,”05,392513,0,47101,0,19482,0,21848,0,0,0,0,0,480944,1256725,652530,7680583
46,”05,394757,0,47370,0,5000,0,85372,0,0,0,0,0,532499,1261093,654798,8305879
47,”06,400388,0,48046,18100,2900,0,35720,0,0,0,0,0,505154,1271636,660272,7993756
48,”05,395505,0,47460,18100,11620,0,86934,0,0,0,0,0,559619,1262684,655624,8633736
50,”07,394483,11200,57530,15300,17366,0,0,0,0,73737,0,0,569616,1337875,677732,8850999
51,”07,388478,21800,58081,15300,22343,0,0,0,0,73737,0,0,579739,1370485,659282,8986635
54,”05,393261,0,47191,18100,0,0,33258,0,0,0,0,0,491810,1257916,653148,7812784
56,”05,394757,0,47370,0,2900,0,25498,0,0,0,0,0,470525,1253964,651096,7551360
57,”06,399549,0,47945,18100,5000,0,242069,0,0,0,0,0,712663,1268960,658882,10479798
58,”05,394757,16200,49314,15300,9576,0,123270,0,0,0,0,0,608417,1301138,651096,9253238
60,”05,381013,0,45721,0,7400,19700,24474,29368,0,0,0,0,507676,1205965,626174,7924251
61,”05,384753,0,46170,15300,9800,13300,3844,29656,0,0,0,0,502823,1222064,634532,7890472
62,”05,380265,0,45631,0,5000,1800,0,0,0,0,0,0,432696,1208646,627566,7028564
64,”07,400041,14000,58532,15300,9800,0,0,0,0,73737,0,4000,575410,1363569,686838,8955327
65,”05,394757,14000,49050,15300,9800,2300,10566,0,7744,0,0,0,503517,1306198,657050,8005452
67,”05,391765,14000,48691,15300,7400,3610,13980,41514,11883,0,0,0,548143,1286089,646608,8510413
69,”05,393261,0,47191,18100,2900,2690,14734,45468,7722,0,0,0,532066,1257916,653148,8295856
70,”05,392513,0,47101,0,7400,3380,3502,0,11200,0,0,0,465096,1243231,645524,7469907
71,”07,395111,26800,59476,15300,9800,940,0,0,0,73737,0,4000,585164,1405197,689100,9116265
72,”05,385220,26800,49442,18100,2900,5340,0,0,0,0,0,0,487802,1302492,635772,7791888
76,”08,420836,0,61099,18100,3876,0,0,0,0,88334,0,0,592245,1201254,955542,9263736
77,”06,405327,26800,51855,18100,2900,0,3905,3905,0,0,0,0,512792,1370867,671274,8195645
78,”08,420029,14000,62683,18100,8838,0,0,0,0,88334,0,0,611984,1233988,954140,9531936
80,”07,394483,26800,59402,15300,8693,0,0,0,0,73737,0,0,578415,1397082,679330,9017392
81,”07,391436,11200,57164,18100,0,0,0,0,0,73737,0,0,551637,1311977,664284,8595905
82,”07,396724,12800,57991,15300,7400,0,0,0,0,73737,0,0,563952,1353862,683612,8804898
84,”06,404954,26800,51810,15300,16071,0,47679,0,0,0,0,0,562614,1367615,669586,8788569
85,”08,415010,0,60400,15300,5170,0,0,0,0,88334,0,0,584214,1184886,942522,9137976
86,”05,397001,0,47640,0,0,0,15020,0,0,0,0,0,459661,1265867,657276,7439075
88,”05,391765,14000,48691,15300,9800,6100,10485,41514,10485,0,0,0,548140,1286089,646608,8510377
89,”08,414203,39600,63854,18100,0,0,0,0,0,78322,0,0,614079,1505952,722062,9596962
92,”08,417161,14000,61137,15300,7400,0,0,0,0,78322,0,0,593320,1421733,717040,9258613
93,”08,421643,26800,64412,18100,14119,0,0,0,0,88334,0,0,633408,1269553,984697,9855146
95,”06,402718,14000,50006,18100,9110,0,35930,0,0,0,0,0,529864,1320131,664284,8342783
98,”08,417161,26800,62673,18100,0,0,0,0,0,78322,0,0,603056,1496280,690483,9423435
99,”05,397001,0,47640,18100,2900,0,0,0,0,0,0,0,465641,1265867,657276,7510835
100,”08,411335,14000,60438,18100,2900,0,0,0,0,78322,0,0,585095,1399517,705504,9126161
103,”06,399549,12800,49481,18100,0,0,40629,0,0,0,0,0,520559,1300885,656106,8203699
104,”05,394009,0,47281,0,8374,0,3515,0,0,0,0,0,453179,1251579,649858,7339585
105,”05,392513,12800,48637,0,12200,0,7004,0,0,0,0,0,473154,1284680,647692,7610220
106,”06,406166,14000,50419,18100,2900,2700,7246,0,0,0,0,0,501531,1327263,667988,8013623
107,”07,395917,14000,58038,15300,15156,0,0,0,0,73737,0,0,572148,1353586,681656,8901018
108,”06,404954,14000,50274,18100,6776,0,0,0,0,0,0,0,494104,1335939,672492,7937679
109,”07,401947,12800,58752,15300,25504,0,0,0,0,74860,0,0,589163,1362056,687868,9119880
110,”05,389241,33100,50680,18100,2900,0,0,0,0,0,0,0,494021,1313730,639642,7881624
112,”08,423077,14000,63048,15300,14555,0,0,0,0,88334,0,0,618314,1245887,936074,9601729
113,”06,393770,14000,48932,15300,13081,0,7026,0,0,0,0,0,492109,1241369,623388,7770065
114,”05,379517,0,45542,18100,5000,13300,0,29248,0,0,0,0,490707,1229874,574729,7693087
116,”05,379517,12800,47078,18100,2900,0,13544,0,0,0,0,0,473939,1237874,623388,7548530
118,”08,419222,14000,62585,18100,7731,0,0,0,0,88334,0,0,609972,1231972,952538,9504174
119,”07,401947,14000,58896,15300,5000,0,0,0,0,74860,0,0,570003,1365550,687868,8893454
120,”06,399549,12800,49481,0,2900,3500,10692,42339,7130,0,0,0,528391,1320093,656106,8316891
121,”05,390550,0,46866,0,3876,0,21741,0,0,0,0,0,463033,1236671,642118,7435185
123,”08,417161,14000,61137,18100,12102,0,0,0,0,78322,0,0,600822,1421733,743597,9375194
124,”07,393766,26800,59316,15300,12550,0,0,0,0,73737,0,0,581469,1369281,670450,9017359
125,”08,415816,14000,60976,18100,2900,0,0,0,0,78322,0,0,590114,1416473,714308,9212149
127,”08,418595,0,60831,18100,5000,0,0,0,0,88334,0,0,590860,1227001,950934,9268255
128,”05,394757,14000,49050,15300,12986,0,0,0,0,0,0,0,486093,1301861,589318,7724295
129,”07,399234,14000,58436,15300,5701,0,0,0,0,73737,0,0,566408,1362619,686346,8845861
131,”07,395111,14000,57940,15300,10315,0,0,0,0,73737,0,0,566403,1348367,678946,8824149
132,”06,397964,14000,49435,15300,9800,2630,10650,11502,7810,0,0,0,519091,1304380,656106,8189578
133,”05,390550,0,46866,0,2900,0,42366,0,0,0,0,0,482682,1241145,644440,7677769
134,”06,397964,0,47755,18100,5000,0,24850,0,0,0,0,0,493669,1260344,654408,7838780
135,”05,392513,0,47101,0,7400,0,28852,0,0,0,0,0,475866,1247406,647692,7605490
136,”07,400041,14000,58532,15300,12550,0,0,0,0,73737,0,0,574160,1363569,686838,8940327
137,”05,379517,0,45542,15300,5000,6000,0,0,0,0,0,0,451359,1205965,626174,7248447
138,”05,392513,0,47101,15300,7400,3530,10506,11346,9800,0,0,0,497496,1334766,652530,7957248
139,”07,399035,26800,60083,15300,7400,0,0,0,0,74860,0,0,583478,1392437,682474,9076647
140,”05,392513,14000,48781,18100,2900,3180,10506,18910,11900,0,0,0,520790,1297493,652530,8199503
141,”05,394009,21800,49897,18100,5000,1920,10545,41756,7030,0,0,0,550057,1315061,649858,8565603
142,”06,397126,14000,49335,15300,25320,3370,21258,11478,7090,0,0,0,544277,1299032,653328,8483684
143,”05,387090,34600,50602,30100,7400,2770,14503,0,8292,0,0,0,535357,1326098,636236,8386618
144,”08,420029,59600,68155,18100,5000,0,0,0,0,88334,0,0,659218,1334026,981402,10226044
145,”07,397531,14000,57108,18100,8693,0,0,0,0,64379,0,0,559811,1356725,683284,8757741
146,”08,413396,0,59005,18100,2900,0,0,0,0,78322,0,0,571723,1366350,735726,8962752
147,”06,399549,14000,49625,15300,7400,0,0,0,0,0,0,0,485874,1347002,658882,7836372
148,”05,394009,25600,50353,18100,0,0,14060,0,0,0,0,0,502122,1366117,651722,8043303
149,”05,391204,21800,49560,18100,13916,2700,132620,0,0,0,0,0,629900,1317421,651084,9527305
150,”08,411335,0,58758,15300,22293,0,0,0,0,78322,0,0,586008,1309937,680160,9022193
151,”05,394009,0,47281,15300,14346,0,179968,0,0,0,0,0,650904,1255170,651722,9717740
152,”06,398803,0,47856,18100,2900,0,0,0,0,0,0,0,467659,1267947,658356,7538211
153,”05,391204,26800,50160,15300,5000,0,3490,0,0,0,0,0,491954,1302539,643356,7849343
154,”07,391937,11200,57359,15300,2900,3000,0,0,0,74860,0,0,556556,1337510,669990,8686172
155,”07,392756,14000,57793,18100,12569,0,0,0,0,74860,0,0,570078,1334225,652248,8827409
156,”08,422149,26800,63415,30100,10417,0,0,0,0,79515,0,0,632396,1505952,722062,9816766
157,”06,402065,0,48247,15300,5000,0,3587,0,0,0,0,0,474199,1279204,664202,7633794
158,”08,415010,26800,63616,18100,10040,0,0,0,0,88334,0,0,621900,1488387,712940,9664127
159,”07,394483,14000,57866,15300,9132,0,0,0,0,73737,0,0,564518,1346029,677732,8797977
160,”06,398803,26800,51072,18100,8838,0,39138,0,0,0,0,0,542751,1345988,658356,8517356
161,”08,421643,14000,61675,15300,22353,0,0,0,0,78322,0,0,613293,1435473,724174,9519163
162,”06,403463,0,48415,15300,5170,0,38008,0,0,0,0,0,510356,1282768,666052,8073092
163,”05,392513,7800,48037,15300,12200,2670,14708,41602,8400,0,0,0,543230,1279438,652530,8450728
164,”05,393261,39600,51943,15300,9800,2030,10524,41679,7020,0,0,0,571157,1400908,648618,8903410
165,”07,389912,14000,57317,18100,6960,0,0,0,0,73737,0,12000,572026,1319561,663988,8847861
166,”05,389241,0,46708,0,8838,0,0,0,0,0,0,0,444787,1109870,257776,6705090
168,”05,397001,14000,49320,30100,9800,2390,17710,15300,7788,0,0,0,543409,1314809,661520,8497237
169,”06,399549,14000,49625,18100,2900,0,43338,0,0,0,0,0,527512,1310498,659282,8299924
170,”05,391765,14000,48691,15300,9800,0,38445,0,0,0,0,0,518001,1291763,649554,8157329
171,”06,395914,14000,49189,15300,7400,2000,17660,41954,7060,0,0,0,550477,1303364,655578,8564666
172,”05,389241,14000,48388,15300,9800,3150,20832,0,10410,0,0,0,511121,1272671,639642,8045765
173,”05,383257,14000,47670,15300,24066,5540,0,0,0,0,0,0,489833,1258063,632056,7768115
174,”05,380265,26800,48847,30100,5000,14700,0,29312,0,0,0,0,535024,1327840,629580,8377708
175,”05,380265,21800,48247,15300,5000,14700,3800,29312,0,0,0,0,518424,1272128,627566,8120782
176,”04,376992,42100,50291,15300,7400,12200,73180,29056,0,0,0,0,606519,1275855,598808,9152891
177,”05,381761,14000,47491,15300,9800,14000,25884,29424,0,0,0,0,537660,1260245,633190,8345355
178,”06,400201,14000,49704,15300,7400,10500,73688,30848,0,0,0,0,601641,1310920,659502,9190114
179,”05,380265,14000,47311,18100,2900,0,13568,0,0,0,0,0,476144,1249414,627566,7590708
180,”05,390550,0,46866,0,13916,0,24388,0,0,0,0,0,475720,1236671,642118,7587429
181,”05,390550,0,46866,0,2900,0,13936,0,0,0,0,0,454252,1236671,642118,7329813
182,”05,389241,0,46708,30100,5000,0,27776,0,0,0,0,0,498825,1231903,639642,7857445
183,”05,389895,12800,48323,0,2900,0,21704,0,0,0,0,0,475622,1234287,640880,7582631
184,”05,389241,11200,48052,18100,0,0,21664,0,0,0,0,0,488257,1264517,639642,7763243
185,”05,389895,0,46787,0,5000,0,24346,0,0,0,0,0,466028,1234287,640880,7467503
186,”05,391204,0,46944,18100,5000,0,25266,0,0,0,0,0,486514,1239058,643356,7720582
187,”08,415010,14000,60879,18100,2900,0,0,0,0,78322,0,0,589211,1416473,714308,9201313
190,”06,401226,0,48147,15300,20236,0,0,0,0,0,0,0,484909,1274015,661508,7754431
191,”06,395914,39600,52261,15300,15943,0,45916,0,0,0,0,0,564934,1369120,651014,8799342
192,”07,389912,0,55637,18100,0,0,0,0,0,73737,0,0,537386,1290474,670054,8409160
193,”04,372423,0,44690,15300,12200,14700,3720,28704,0,0,0,0,491737,1139473,591648,7631965
194,”06,397126,12800,49191,15300,7400,0,38973,0,0,0,0,0,520790,1336971,655488,8241939
195,”07,395111,14000,57940,15300,7400,0,0,0,0,73737,0,0,563488,1348367,678946,8789169
196,”06,398803,25600,50928,18100,2900,0,19210,0,0,0,0,0,515541,1343508,592994,8122994
197,”08,412500,26800,62114,18100,9110,0,0,0,0,78322,0,0,606946,1440591,707476,9431419
198,”07,395031,14000,58066,0,2900,0,0,0,0,74860,0,0,544857,1342400,675846,8556530
199,”06,392279,26800,50289,15300,16002,0,0,0,0,0,0,0,500670,1318175,643916,7970131
200,”05,385781,42100,51345,18100,8838,0,24087,0,0,0,0,0,530251,1342871,633604,8339487
201,”05,389895,0,46787,0,2900,0,0,0,0,0,0,0,439582,1234287,640880,7150151
202,”05,377366,26800,48499,15300,37078,9720,3366,29088,0,0,0,0,547217,1270889,619362,8456855
203,”05,374935,34600,49144,18100,5000,1800,0,0,0,0,0,0,483579,1285850,615338,7704136
204,”08,426483,14000,63457,18100,8838,0,0,0,0,88334,0,0,619212,1251612,995822,9677978
205,”08,414203,25600,62174,15300,5000,0,0,0,0,78322,0,0,600599,1457468,718054,9382710
206,”05,393261,0,47191,0,10040,0,3928,0,0,0,0,0,454420,1245869,646894,7345803
207,”08,420836,39600,65851,18100,6805,0,0,0,0,88334,0,0,639526,1298828,955542,9928682
208,”07,395111,14000,57940,15300,5170,0,0,0,0,73737,0,0,561258,1363177,686634,8784907
209,”08,415010,14000,62080,18100,0,0,0,0,0,88334,0,0,597524,1427547,720058,9317893
210,”07,392332,0,55928,18100,3876,3000,0,0,0,73737,0,0,546973,1334933,673784,8572393
211,”08,417878,14000,61223,15300,4666,0,0,0,0,78322,0,0,591389,1444465,728842,9269975
212,”08,422180,20600,63733,0,5000,0,0,0,0,88334,0,0,599847,1269945,997516,9465625
213,”08,410169,26800,61834,18100,5000,0,0,0,0,78322,0,0,600225,1432698,703378,9338776
214,”07,389105,14000,57220,18100,2900,0,0,0,0,73737,0,0,555062,1328488,668624,8657856
215,”08,419222,14000,62585,15300,5170,0,0,0,0,88334,0,0,604611,1449213,731308,9435853
216,”05,392513,14000,48781,15300,9067,3600,10506,0,0,0,0,0,493767,1325448,647692,7898344
217,”07,396724,14000,58135,18100,0,0,0,0,0,73737,0,0,560696,1372375,691410,8792137
218,”05,391204,39600,51696,15300,19769,0,0,0,0,0,0,0,517569,1358546,645524,8214898
219,”08,415816,0,59296,18100,8693,0,0,0,0,78322,0,0,580227,1396277,751841,9110842
220,”06,399549,26800,51161,18100,8693,0,11262,7698,0,0,0,0,523263,1347002,658882,8285040
221,”06,399549,12800,49481,18100,2900,0,0,0,0,0,0,0,482830,1300885,656106,7750951
222,”05,388586,14000,48310,18100,2900,0,69320,0,0,0,0,0,541216,1230114,638712,8363418
223,”05,388586,0,46630,18100,10040,0,55456,0,0,0,0,0,518812,1230114,638712,8094570
224,”04,378230,0,45387,30100,3876,2700,70854,0,0,0,0,0,531147,1157070,600786,8131620
225,”04,374898,0,44987,0,7400,0,0,0,0,0,0,0,427285,0,0,5127420
226,”07,393575,12800,57748,18100,5000,0,0,0,0,74860,0,0,562083,1370839,673074,8788909
227,”05,388586,0,46630,15300,2900,3600,48524,0,0,0,0,0,505540,1230114,638712,7935306
228,”05,389241,11200,48052,30100,5000,0,27776,0,0,0,0,0,511369,1264517,639642,8040587
229,”05,387090,0,46450,0,5000,0,17265,0,0,0,0,0,455805,1225343,636236,7331239
230,”05,386342,0,46361,15300,5000,0,0,0,0,0,0,0,453003,1222959,634998,7293993
231,”05,381761,39600,50563,18100,2900,0,3816,0,0,0,0,0,496740,1327840,629580,7918300
232,”08,412500,14000,60578,15300,18357,0,0,0,0,78322,0,0,599057,1403317,707476,9299477
233,”04,378230,14000,47067,18100,5000,4030,10122,0,8100,0,0,0,484649,1197838,600786,7614412
234,”06,399549,26800,51161,15300,7400,4560,10692,46188,9269,0,0,0,570919,1349144,659996,8860168
235,”06,391347,52100,53213,18100,5712,16190,25833,45240,10470,0,0,0,618205,1374912,642682,9436054
236,”06,402065,14000,49927,15300,7400,2450,17935,42614,7170,0,0,0,558861,1321348,664916,8692596
237,”04,374993,14000,46679,15300,7400,0,0,0,0,0,0,0,458372,1188160,595760,7284384
238,”05,382509,0,45901,30100,12200,0,10236,0,0,0,0,0,480946,1226092,636624,7634068
239,”05,387838,26800,49756,15300,7400,2930,10380,0,7612,0,0,0,508016,1305769,637474,8039435
240,”07,382651,12800,56301,15300,2900,0,0,0,0,73737,0,12000,555689,1279786,645150,8593204
241,”05,385033,26800,49419,15300,9800,4170,13740,0,7557,0,0,0,511819,1301000,634998,8077826
242,”05,381761,14000,47491,15300,7400,14000,25884,29424,0,0,0,0,535260,1265268,635798,8324186
244,”06,392838,11200,48484,30100,7400,11200,46253,30280,0,0,0,0,577755,1273643,644380,8851083
245,”05,383537,33100,49996,18100,5000,16930,41741,0,10944,0,0,0,559348,1308613,629424,8650213
246,”05,381013,21800,48337,15300,9800,15700,3808,29368,0,0,0,0,525126,1273622,628342,8203476
247,”05,381761,14000,47491,15300,9800,13300,22068,29424,0,0,0,0,533144,1253293,629580,8280601
248,”05,381761,11200,47155,18100,8693,0,0,0,0,0,0,0,466909,1252092,633190,7488190
249,”05,389241,26800,49924,15300,7731,0,10416,0,0,0,0,0,499412,1314713,642118,7949775
250,”04,372899,34600,48899,15300,7400,3390,9981,0,7980,0,0,0,500449,1225961,591802,7823151
251,”08,422786,14000,61956,18100,8226,0,0,0,0,79515,0,0,604583,1420631,697114,9372741
252,”06,388178,0,46581,15300,5000,17900,25764,11220,12474,0,0,0,522417,1227657,637436,8134097
253,”06,387433,39600,51243,0,7400,2000,24746,0,6910,0,0,0,519332,1340294,636046,8208324
254,”05,391204,29600,50496,18100,5000,5020,18846,18845,10470,0,0,0,547581,1325253,643356,8539581
255,”04,375564,54600,51619,15300,5000,3180,13400,18090,10720,0,0,0,547473,1293293,596522,8459491
256,”05,382696,29600,49475,15300,5000,2610,18436,40557,8196,0,0,0,551870,1296335,628342,8547117
257,”07,393766,7800,57036,18100,2900,0,0,0,0,73737,0,12000,565339,1322409,686634,8793111
258,”06,388178,26800,49797,15300,7400,2540,17315,14960,6930,0,0,0,529220,1305699,637436,8293775
259,”05,383537,26800,49240,15300,9610,2590,10263,0,8208,0,0,0,505548,1290267,629424,7986267
260,”06,388178,0,46581,15300,12200,2750,21332,11220,6930,0,0,0,504491,1227657,637436,7918985
261,”07,395850,14000,58165,18100,5000,0,0,0,0,74860,0,0,565975,1345070,677234,8814004
262,”08,428064,14000,63809,18100,5000,0,0,0,0,89680,0,0,618653,1451587,759671,9635094
263,”06,399549,34600,52097,18100,5000,0,21384,26943,0,0,0,0,557673,1364367,656106,8712549
264,”05,393261,14000,48871,15300,12102,0,91208,0,0,0,0,0,574742,1289961,648618,8835483
265,”07,395031,39600,61138,18100,6453,0,0,0,0,74860,0,0,595182,1381606,657496,9181286
266,”05,390550,34600,51018,18100,2900,0,136434,0,0,0,0,0,633602,1341901,644440,9589565
267,”05,387090,11200,47794,0,0,0,0,0,0,0,0,0,446084,1022142,414172,6789322
268,”06,398803,14000,49536,18100,3876,0,56928,0,0,0,0,0,541243,1266290,657496,8418702
269,”08,422786,19000,62556,15300,12550,0,0,0,0,79515,0,0,611707,1448932,723602,9513018
270,”06,398803,34600,52008,15300,13243,0,0,0,0,0,0,0,513954,1367046,657496,8191990
271,”05,387090,0,46450,18100,10040,0,0,0,0,0,0,0,461680,1103737,320440,6964337
272,”05,391204,34600,51096,15300,2900,0,14518,15076,0,0,0,0,524694,1339813,643356,8279497
273,”06,388178,0,46581,0,5000,0,93501,0,0,0,0,0,533260,1227657,637436,8264213
274,”06,388178,34600,50733,18100,5000,0,11360,0,0,0,0,0,507971,1328412,637436,8061500
275,”05,378021,26800,48578,18100,8226,3600,379448,0,0,0,0,0,862773,1264173,596522,12213971
276,”04,372137,0,44656,0,3103,0,0,0,0,0,0,0,419896,1137421,590584,6766757
277,”07,398307,14000,58460,15300,18357,0,0,0,0,74860,0,0,579284,1352490,681086,8984984
278,”05,389895,34600,50939,18100,5000,0,135504,0,0,0,0,0,634038,1335042,640880,9584378
280,”05,387090,21800,49066,18100,2900,0,199863,0,0,0,0,0,678819,1288824,636236,10070888
281,”06,397964,26800,50971,18100,5000,0,0,0,0,0,0,0,498835,1323825,654408,7964253
282,”07,398307,34600,60932,15300,8374,0,0,0,0,74860,0,0,592373,1412477,681086,9202039
283,”04,369852,0,44382,15300,12046,1800,3299,0,0,0,0,0,446679,1130380,586928,7077456
284,”07,397397,12800,58206,15300,19949,0,0,0,0,74860,0,0,578512,1346919,680008,8969071
285,”05,391765,0,47011,18100,17420,0,0,30192,0,0,0,0,504488,1245321,646608,7945785
286,”05,387838,0,46540,18100,5000,0,38892,0,0,0,0,0,496370,1231903,639642,7827985
287,”05,387838,0,46540,0,2900,0,21592,0,0,0,0,0,458870,1269176,639642,7415258
288,”05,391204,11200,48288,18100,8693,0,80270,0,0,0,0,0,557755,1275845,645524,8614429
289,”06,395914,26800,50725,15300,4666,0,0,0,0,0,0,0,493405,1323033,653998,7897891
290,”07,392332,14000,57608,15300,18196,0,0,0,0,73737,0,0,571173,1340766,674998,8869840
291,”05,381761,11200,47155,15300,12200,8960,0,0,0,0,0,0,476576,1245139,629580,7593631
292,”04,376231,0,45147,30100,2900,5440,14096,39875,11407,0,0,0,525196,1151204,597740,8051296
293,”06,397126,0,47655,18100,0,0,36563,26782,0,0,0,0,526226,1262424,655488,8232624
295,”07,395031,12800,57922,15300,5170,3000,0,0,0,74860,0,0,564083,1338905,675846,8783747
296,”07,401128,52100,63370,15300,3876,0,0,0,0,74860,0,0,610634,1474124,686634,9488366
297,”08,417599,21800,62269,15300,5000,0,0,0,0,79515,0,0,601483,1433938,711582,9363316
298,”06,395262,25600,50503,15300,23866,0,7052,0,0,0,0,0,517583,1308834,640880,8160710
299,”08,410169,26800,61834,15300,5000,0,0,0,0,78322,0,0,597425,1452950,713894,9335944
300,”05,387090,0,46450,0,5170,0,0,0,0,0,0,0,438710,1225343,636236,7126099
301,”06,393957,7800,48210,0,3876,2700,0,0,0,0,0,0,456543,1267603,646384,7392503
302,”08,411335,0,58758,30100,3876,0,0,0,0,78322,0,0,582391,1379063,716052,9083807
303,”07,393575,34600,60364,18100,8693,0,0,0,0,74860,0,0,590192,1359019,653328,9094651
304,”05,381013,0,45721,15300,13183,0,0,0,0,0,0,0,455217,457927,0,5920531
305,”04,372899,0,44747,0,15355,0,3327,0,0,0,0,0,436328,1139766,591802,6967504
306,”05,377273,28100,48644,15300,7999,0,152816,0,0,0,0,0,630132,1272585,618278,9452447
307,”05,378769,0,45452,0,16056,0,0,0,0,0,0,0,440277,1196722,621374,7101420
308,”06,395914,0,47509,15300,12714,0,71768,0,0,0,0,0,543205,1258264,653328,8430052
309,”06,390415,26800,50065,0,11116,0,0,0,0,0,0,0,478396,1298317,633604,7672673
310,”05,378208,14000,47064,15300,5000,1800,0,0,0,0,0,0,461372,1246969,626296,7409729
311,”05,373252,14000,46470,18100,2900,15400,28234,0,0,0,0,0,498356,1220496,612550,7813318
312,”05,375777,14000,46773,30100,7400,3440,0,0,0,0,0,0,477490,1228546,616730,7575156
313,”05,386342,21800,48977,18100,0,4320,10338,0,11024,0,0,0,500901,1286440,634998,7932250
314,”05,377273,29600,48824,18100,2900,0,53856,0,0,0,0,0,530553,1276953,618278,8261867
315,”05,380171,11200,46964,18100,5000,3170,16955,14652,6780,0,0,0,502992,1235597,624626,7896127
316,”07,391937,29600,59567,18100,11770,0,0,0,0,74860,0,0,585834,1376548,669990,9076546
317,”04,372899,28100,48119,15300,12200,4880,17300,0,11305,0,0,0,510103,1221593,591802,7934631
318,”04,372899,26800,47963,15300,7400,3780,20627,43116,11305,0,0,0,549190,1220809,591802,8402891
319,”05,375777,0,45093,15300,5000,14700,3756,28960,0,0,0,0,488586,1192848,619362,7675242
320,”05,379049,14000,47165,15300,27576,14700,25700,29216,0,0,0,0,552706,1244048,624780,8501300
321,”06,395262,12800,48967,18100,2900,0,66994,0,0,0,0,0,545023,1293457,652248,8485981
322,”05,376244,12800,46685,15300,5000,12550,17452,43500,10736,0,0,0,540267,1263519,617350,8364073
323,”05,387838,14000,48220,30100,12200,2890,10380,41107,9688,0,0,0,556423,1305769,637474,8620319
324,”04,372137,20600,47128,15300,5000,5150,21248,0,11288,0,0,0,497851,1197408,590584,7762204
325,”05,387838,0,46540,0,8693,0,0,0,0,0,0,0,443071,1231903,639642,7188397
326,”06,395914,7800,48445,15300,22567,0,29808,0,0,0,0,0,519834,1270276,653328,8161612
327,”05,387838,0,46540,30100,9486,0,31972,0,0,0,0,0,505936,1227727,637474,7936433
