№,級,給料月額,扶養手当月額,地域手当月額,住居手当月額,通勤手当月額,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
98,”07,452312,26800,85429,15300,0,0,0,0,0,90423,0,0,670264,1587599,899743,10530510
99,”04,395800,0,59370,15300,2000,0,0,0,0,0,0,0,472470,1284873,741710,7696223
100,”07,452312,14000,83509,15300,2000,0,0,0,0,90423,0,0,657544,1539751,867512,10297791
103,”05,411000,16200,64080,15300,0,0,231165,24396,0,0,0,0,762141,1352941,759683,11258316
104,”04,395800,0,59370,0,8374,0,18125,0,0,0,0,0,481669,1280378,739234,7799640
105,”03,364200,12800,56550,0,12900,0,0,0,0,0,0,0,446450,1203379,670463,7231242
106,”05,411000,14000,63750,15300,2000,0,76050,0,0,0,0,0,582100,1366426,765160,9116786
109,”06,426308,0,76091,9800,25504,0,0,0,0,80967,0,0,618670,1470425,828783,9723248
110,”04,395800,33100,64335,15300,2000,0,7250,0,0,0,0,0,517785,1370968,735286,8319674
113,”05,411000,14000,63750,9800,13081,0,71535,0,0,0,0,0,583166,1347803,754899,9100694
114,”03,353100,0,52965,15300,4200,0,0,0,0,0,0,0,425565,1128501,582173,6817454
116,”04,369300,12800,57315,15300,2000,0,13532,0,0,0,0,0,470247,1166303,649174,7458441
119,”07,431824,14000,80436,9800,2000,0,0,0,0,90423,0,0,628483,1473969,828783,9844548
120,”05,411000,12800,63570,0,4200,3150,15060,12198,9036,0,0,0,531014,1352941,759683,8484792
121,”04,395800,0,59370,0,3876,0,96570,0,0,0,0,0,555616,1275182,736370,8678944
123,”08,461669,14000,87602,15300,12102,0,0,0,0,108350,0,0,699023,1549797,873102,10811175
124,”06,426308,12800,78011,9800,12550,0,0,0,0,80967,0,4000,624436,1446050,814773,9754055
128,”03,364200,14000,56730,9800,12986,0,0,0,0,0,0,0,457716,1210294,606963,7309849
132,”05,411000,14000,63750,9800,10000,1100,11295,44726,7530,0,0,0,573201,1312758,758370,8949540
133,”05,399900,0,59985,0,2000,0,48498,0,0,0,0,0,510383,1275182,736370,8136148
134,”05,411000,0,61650,15300,4200,0,50749,0,0,0,0,0,542899,1312758,758370,8585916
135,”03,364200,0,54630,0,7100,0,24152,0,0,0,0,0,450082,1165577,670463,7237024
136,”06,426308,14000,78191,9800,12550,0,0,0,0,80967,0,0,621816,1459235,820086,9741113
137,”04,369300,0,55395,9800,2000,0,0,0,0,0,0,0,436495,1128501,649174,7015615
138,”04,387900,0,58185,9800,10000,3800,23451,0,8532,0,0,0,501668,1165577,670463,7856056
139,”06,432800,26800,81270,9800,4200,0,0,0,0,82200,0,0,637070,1507297,826318,9978455
141,”03,364200,26800,58650,15300,4200,1750,10008,14412,8671,0,0,0,503991,1232206,671702,7951800
142,”05,411000,14000,63750,9800,20136,0,15060,0,7530,0,0,0,541276,1352845,757677,8605834
143,”03,364200,34600,59820,28000,4200,1550,13344,0,9338,0,0,0,515052,1259612,665974,8106210
144,”08,471026,47100,93971,15300,4200,0,0,0,0,108350,0,0,739947,1492843,1189205,11561412
146,”07,452312,0,81409,15300,2000,0,0,0,0,90423,0,0,641444,1502666,869913,10069907
147,”05,411000,14000,63750,9800,7100,0,0,0,0,0,0,0,505650,1356485,759683,8183968
148,”04,395800,25600,63210,15300,0,0,7250,0,0,0,0,0,507160,1355981,739234,8181135
150,”07,452312,0,81409,9800,22293,0,0,0,0,90423,0,0,656237,1498406,867512,10240762
151,”04,395800,0,59370,9800,14346,0,128910,0,0,0,0,0,608226,1280378,739234,9318324
153,”04,395800,26800,63390,9800,4200,0,0,0,0,0,0,0,499990,1355312,736912,8092104
154,”06,432800,11200,78930,9800,2000,0,0,0,0,82200,0,0,616930,1445589,817469,9666218
155,”06,432800,14000,79350,15300,12569,0,0,0,0,82200,0,0,636219,1457663,819691,9911982
156,”07,459200,26800,86670,9800,18263,0,0,0,0,91800,0,0,692533,1608006,884969,10803371
158,”08,471026,26800,90926,15300,7975,0,0,0,0,108350,0,0,720377,1404299,1183277,11232100
159,”07,431824,14000,80436,9800,9132,0,0,0,0,90423,0,0,635615,1450695,815380,9893455
160,”05,411000,14000,63750,15300,8838,0,70478,0,0,0,0,0,583366,1393166,759065,9152623
161,”08,461669,14000,87602,9800,22551,0,0,0,0,108350,0,0,703972,1556683,876896,10881243
162,”05,411000,0,61650,9800,5170,0,38552,0,0,0,0,0,526172,1321020,762923,8398007
163,”03,364200,7800,55800,9800,12900,300,10008,0,7337,0,0,0,468145,1188613,670463,7476816
164,”03,364200,39600,60570,9800,10000,0,10008,0,8671,0,0,0,502849,1283649,671082,7988919
165,”06,426308,14000,78191,15300,6960,0,0,0,0,80967,0,0,621726,1443671,811509,9715892
166,”03,364200,0,54630,9800,10998,0,13344,0,0,0,0,0,452972,928529,241874,6606067
169,”05,411000,14000,63750,15300,2000,0,37650,0,0,0,0,0,543700,1356485,759683,8640568
172,”03,364200,14000,56730,9800,7100,0,14011,39633,11339,0,0,0,516813,1202006,667754,8071516
173,”04,369300,14000,57495,9800,24066,0,0,0,0,0,0,0,474661,1175464,652269,7523665
174,”03,353100,26800,56985,30100,4200,0,0,0,0,0,0,0,471185,1208771,582792,7445783
175,”03,353100,21800,56235,9800,4200,0,10351,27944,0,0,0,0,483430,1194005,649793,7644958
176,”04,369300,47100,62460,9800,7100,500,80104,29224,0,0,0,0,605588,1229903,636539,9133498
177,”03,353100,14000,55065,9800,10000,0,20958,27944,0,0,0,0,490867,1173217,651031,7714652
178,”05,411000,14000,63750,9800,7100,0,117013,32528,0,0,0,0,655191,1357465,760223,9979980
179,”03,353100,14000,55065,15300,2000,0,48902,0,0,0,0,0,488367,1170970,649793,7681167
180,”04,395800,0,59370,0,13916,0,0,0,0,0,0,0,469086,1275182,736370,7640584
181,”04,387900,0,58185,0,2000,0,43490,0,0,0,0,0,491575,1162629,668838,7730367
184,”03,364200,11200,56310,15300,0,0,17480,0,0,0,0,0,464490,1193738,667754,7435372
185,”04,387900,0,58185,0,4200,0,17765,0,0,0,0,0,468050,1161644,668296,7446540
186,”03,364200,0,54630,15300,4200,0,30824,0,0,0,0,0,469154,1163611,669380,7462839
191,”06,416600,39600,80760,9800,15943,0,0,0,0,82200,0,0,644903,1426627,756673,9922136
192,”06,426308,14000,78191,15300,0,0,0,0,0,80967,0,0,614766,1402326,811509,9591027
193,”03,353100,0,52965,9800,12900,0,0,0,0,0,0,0,428765,1098937,632883,6877000
194,”05,411000,12800,63570,9800,8113,0,37650,0,0,0,0,0,542933,1349302,757677,8622175
195,”06,426308,14000,78191,9800,7100,0,0,0,0,80967,0,0,616366,1451659,815911,9663962
196,”05,411000,12800,63570,15300,2000,0,35389,0,0,0,0,0,540059,1389622,759065,8629395
198,”06,432800,14000,79350,0,2000,0,0,0,0,82200,0,0,610350,1463342,822927,9610469
199,”05,411000,26800,65670,9800,16002,0,410222,0,0,0,0,0,939494,1383364,753664,13410956
200,”04,395800,42100,65685,15300,10998,0,4060,0,0,0,0,0,533943,1392349,732422,8532087
201,”04,395800,0,59370,0,2000,0,54810,0,0,0,0,0,511980,1274197,735828,8153785
202,”04,369300,26800,59415,9800,37078,0,41406,29224,0,0,0,0,573023,1204415,647393,8728084
203,”04,369300,34600,60585,15300,4200,0,0,0,0,0,0,0,483985,1223800,645381,7677001
204,”08,471026,14000,89006,15300,8838,0,0,0,0,108350,0,0,706520,1387322,1196826,11062388
205,”07,452312,0,81409,9800,4200,0,0,0,0,90423,0,0,638144,1579510,870597,10107835
206,”05,399900,0,59985,0,13916,0,0,0,0,0,0,0,473801,1279254,738614,7703480
207,”08,471026,26800,90926,15300,6805,0,0,0,0,108350,0,0,719207,1443915,1190159,11264558
208,”06,426308,14000,78191,9800,5170,0,0,0,0,80967,0,0,614436,1451659,815911,9640802
209,”08,471026,14000,89006,15300,0,0,0,0,0,108350,0,0,697682,1372308,1183277,10927769
210,”06,426308,0,76091,15300,3876,0,0,0,0,80967,0,0,602542,1406045,813559,9450108
211,”07,452312,14000,83509,9800,4666,0,0,0,0,90423,0,0,654710,1550899,900395,10307814
212,”08,471026,25600,90746,0,4200,0,0,0,0,108350,0,0,699922,1398188,1191746,10988998
213,”07,451721,14000,83420,15300,4200,0,0,0,0,90423,0,0,659064,1572846,890978,10372592
214,”06,426308,14000,78191,15300,2000,0,0,0,0,80967,0,0,616766,1442431,810826,9654449
215,”08,471026,14000,89006,9800,5170,0,0,0,0,108350,0,0,697352,1377822,1160951,10906997
216,”03,364200,14000,56730,9800,9067,3600,10008,0,0,0,0,0,467405,1206922,670463,7486245
217,”06,426308,14000,78191,15300,0,0,0,0,0,80967,0,0,614766,1454139,817277,9648608
218,”04,395800,39600,65310,9800,19769,0,0,0,0,0,0,0,530279,1393113,736912,8493373
219,”07,452312,0,81409,15300,8693,0,0,0,0,90423,0,0,648137,1506385,898520,10182549
220,”05,411000,26800,65670,15300,8693,0,88099,16264,0,0,0,0,631826,1394286,759683,9735881
221,”05,411000,12800,63570,15300,2000,0,56924,0,0,0,0,0,561594,1352941,759683,8851752
223,”03,364200,0,54630,15300,10040,0,26688,0,0,0,0,0,470858,1159678,667212,7477186
224,”03,364200,0,54630,28000,3876,0,163464,0,0,0,0,0,614170,1124918,648059,9143017
225,”03,364200,12800,56550,9800,20588,0,0,0,0,0,0,0,463938,902405,555436,7025097
226,”06,432800,12800,79170,15300,4200,0,0,0,0,82200,0,0,626470,1456651,821148,9795439
227,”05,399900,0,59985,9800,4200,0,47619,0,0,0,0,0,521504,1272231,734744,8265023
228,”03,364200,11200,56310,30100,4200,0,0,0,0,0,0,0,466010,1193738,667754,7453612
229,”05,399900,0,59985,0,4200,0,21978,0,0,0,0,0,486063,1269983,733506,7836245
230,”03,364200,0,54630,9800,2000,0,24152,0,0,0,0,0,454782,1040223,241874,6739481
231,”04,369300,39600,61335,15300,2000,0,18400,0,0,0,0,0,505935,1248821,651031,7971072
232,”08,471026,14000,89006,9800,18357,0,0,0,0,108350,0,0,710539,1542634,869155,10938257
233,”03,364200,14000,56730,15300,4200,300,10008,39633,7337,0,0,0,511708,1166263,648059,7954818
234,”05,411000,26800,65670,9800,7100,1350,15813,44726,8283,0,0,0,590542,1394286,759683,9240473
235,”05,411000,39600,67590,15300,5712,12600,24096,0,9036,0,0,0,584934,1456682,752893,9228783
236,”06,410351,14000,75797,9800,7100,0,0,0,0,80967,0,12000,610015,1360264,761765,9442209
237,”03,353100,14000,55065,9800,7100,0,20958,27944,0,0,0,0,487967,1031306,201002,7087912
239,”04,387900,26800,62205,9800,10000,900,10659,11511,9243,0,0,0,529018,1237700,666593,8252509
240,”06,421186,0,75322,9800,2000,300,0,0,0,80967,0,4000,593575,1417864,798698,9339462
241,”03,364200,26800,58650,9800,10000,1100,10008,39633,8004,0,0,0,528195,1233486,664271,8236097
244,”05,411000,0,61650,28000,7100,0,81171,32528,0,0,0,0,621449,1320423,754127,9531938
245,”05,399900,33100,64950,15300,4200,12600,19048,0,10262,0,0,0,559360,1362399,730565,8805284
246,”03,353100,21800,56235,9800,10000,1500,0,27944,0,0,0,0,480379,1195129,650412,7610089
247,”03,353100,14000,55065,9800,10000,0,45022,27944,0,0,0,0,514931,1173217,651031,8003420
248,”03,353100,11200,54645,15300,8693,0,48902,0,0,0,0,0,491840,1164949,651031,7718060
249,”04,395800,14000,61470,9800,4405,0,22040,27405,0,0,0,0,534920,1352362,735286,8506688
250,”03,364200,34600,59820,9800,2000,300,10008,0,7337,0,0,0,488065,1219362,643795,7719937
251,”07,452312,14000,83509,15300,8226,0,0,0,0,90423,0,0,663770,1571184,885509,10421933
252,”05,411000,14000,63750,9800,7100,11240,11295,44726,9789,0,0,0,582700,1298057,750270,9040727
253,”05,411000,39600,67590,0,10000,600,11295,0,8283,0,0,0,548368,1413885,749652,8743953
254,”03,364200,29600,59070,15300,4200,0,10008,0,8004,0,0,0,490382,1251027,669380,7804991
255,”03,364200,54600,62820,9800,2000,9200,40031,43236,9338,0,0,0,595225,1282296,645927,9070923
256,”04,395800,29600,63810,9800,4200,750,10875,43065,8700,0,0,0,566600,1350798,729868,8879866
257,”06,426308,7800,77261,15300,2000,0,0,0,0,80967,0,0,609636,1431283,814773,9561688
258,”05,411000,26800,65670,9800,10000,1550,11295,0,7530,0,0,0,543645,1377204,750270,8651214
259,”04,395800,26800,63390,9800,0,2200,10875,0,7250,0,0,0,516115,1343793,730565,8267738
260,”05,411000,0,61650,9800,15800,150,15060,0,7530,0,0,0,520990,1298057,750270,8300207
261,”06,426308,14000,78191,15300,4200,0,0,0,0,80967,0,0,618966,1464601,823621,9715814
262,”08,471026,14000,89006,15300,4200,0,0,0,0,108350,0,0,701882,1401023,1208840,11032447
263,”05,411000,34600,66840,15300,4200,0,139602,0,0,0,0,0,671542,1417322,759683,10235509
264,”04,395800,14000,61470,9800,12102,0,14500,0,0,0,0,0,507672,1320600,738614,8151278
265,”06,426308,26800,80111,15300,6453,0,0,0,0,80967,0,0,635939,1538945,822927,9993140
266,”04,395800,39600,65310,15300,2000,0,116000,0,0,0,0,0,634010,1377364,736370,9721854
267,”04,395800,11200,61050,0,0,0,0,0,0,0,0,0,468050,1042447,0,6659047
268,”05,411000,14000,63750,15300,3876,0,68974,0,0,0,0,0,576900,1355364,759065,9037229
269,”07,452312,11200,83089,9800,12550,0,0,0,0,90423,0,0,659374,1562915,912503,10387906
270,”05,411000,39600,67590,9800,13441,0,67770,0,0,0,0,0,609201,1416201,660024,9386637
271,”03,364200,0,54630,15300,10040,0,24152,0,0,0,0,0,468322,1041122,276427,6937413
272,”04,395800,34600,64560,9800,2000,0,11455,19575,0,0,0,0,537790,1378346,736912,8568738
273,”05,411000,0,61650,0,4200,0,71535,0,0,0,0,0,548385,1298057,750270,8628947
274,”05,411000,34600,66840,15300,4200,0,176496,0,0,0,0,0,708436,1400239,750270,10651741
275,”04,395800,26800,63390,15300,8226,3960,212570,0,0,0,0,0,726046,1335506,725998,10774056
276,”03,364200,0,54630,0,3103,0,0,0,0,0,0,0,421933,892860,0,5956056
277,”07,431824,14000,80436,9800,18357,0,0,0,0,90423,0,0,644840,1468377,825701,10032158
278,”04,395800,34600,64560,15300,4200,0,94975,11745,0,0,0,0,621180,1376379,735828,9566367
280,”04,395800,26800,63390,15300,2000,0,101935,0,0,0,0,0,605225,1334363,733506,9330569
281,”05,411000,26800,65670,15300,4200,0,56924,0,0,0,0,0,579894,1391905,758370,9109003
282,”06,426308,39600,82031,9800,15493,0,0,0,0,80967,0,0,654199,1529213,825701,10205302
283,”04,369300,0,55395,9800,12046,0,0,0,0,0,0,0,446541,1095206,630827,7084525
284,”06,426308,0,76091,9800,19949,0,0,0,0,80967,0,8000,621115,1463433,824930,9741743
285,”04,395800,0,59370,15300,11256,0,4060,0,0,0,0,0,485786,1277006,737375,7843813
286,”04,395800,0,59370,15300,4200,0,70615,0,0,0,0,0,545285,1271106,734125,8548651
287,”03,364200,0,54630,0,2000,0,34160,0,0,0,0,0,454990,1158553,666593,7285026
288,”03,364200,11200,56310,15300,8693,0,33360,0,0,0,0,0,489063,1196688,669380,7734824
289,”05,411000,26800,65670,9800,4666,0,4066,28462,0,0,0,0,550464,1388825,756673,8751066
290,”06,426308,14000,78191,9800,18196,0,0,0,0,80967,0,0,627462,1447390,813559,9790493
291,”04,369300,11200,57075,9800,12900,0,24354,0,0,0,0,0,484629,1164949,651031,7631528
292,”03,364200,0,54630,30100,4200,800,14011,39633,9338,0,0,0,516912,1122016,646460,7971420
293,”05,411000,0,61650,15300,0,0,8432,0,0,0,0,0,496382,1311500,757677,8025761
295,”06,432800,0,77250,28000,5170,0,0,0,0,82200,0,4000,629420,1439558,822927,9815525
296,”07,431824,52100,86151,9800,12110,0,0,0,0,90423,0,0,682408,1585229,828089,10602214
297,”07,452312,21800,84679,9800,4200,0,0,0,0,90423,0,0,663214,1585139,907121,10450828
298,”05,411000,25600,65490,9800,23866,0,0,0,0,0,0,0,535756,1384302,756133,8569507
299,”07,451721,14000,83420,9800,4200,0,0,0,0,90423,0,0,653564,1572846,864775,10280389
300,”04,395800,0,59370,0,5170,0,0,0,0,0,0,0,460340,1269983,733506,7527569
301,”05,411000,26800,65670,0,3876,0,65056,0,0,0,0,0,572402,1329773,755053,8953650
302,”07,452312,14000,69945,9800,27391,0,0,0,0,0,0,0,573448,1520543,893788,9295707
303,”06,432800,34600,82440,15300,8693,0,0,0,0,82200,0,0,656033,1521031,821148,10214575
304,”04,395800,0,59370,9800,13183,0,3625,0,0,0,0,0,481778,413066,165226,6359628
305,”03,364200,0,54630,0,15355,0,0,0,0,0,0,0,434185,1117180,643795,6971195
306,”04,395800,33100,64335,9800,7999,0,76125,0,0,0,0,0,587159,1338220,725379,9109507
307,”04,395800,0,59370,0,16056,0,15805,0,0,0,0,0,487031,1257483,726618,7828473
308,”05,411000,0,61650,9800,11515,0,95479,0,0,0,0,0,589444,1309679,756673,9139680
309,”06,416600,26800,78840,0,18496,0,0,0,0,82200,0,0,622936,1380564,752121,9607917
311,”04,369300,14000,57495,15300,2000,2100,31122,0,0,0,0,0,491317,1160435,643988,7700227
312,”04,369300,14000,57495,28000,7100,0,24354,0,0,0,0,0,500249,1164227,646078,7813293
313,”03,364200,21800,57900,15300,0,450,10008,39633,9338,0,0,0,518629,1220687,665355,8109590
314,”04,395800,29600,63810,15300,2000,450,10875,46980,9425,0,0,0,574240,1342650,725379,8958909
315,”05,399900,11200,61665,15300,4200,650,10989,0,7330,0,0,0,511234,1292665,727778,8155251
316,”06,432800,34600,82440,15300,9576,0,0,0,0,82200,0,0,656916,1499929,817469,10200390
317,”03,364200,28100,58845,9800,7100,0,10008,14412,6670,0,0,0,499135,1200166,643795,7833581
318,”03,364200,26800,58650,9800,7100,150,10008,43236,10005,0,0,0,529949,1196327,643795,8199510
319,”03,353100,0,52965,9800,4200,0,0,27944,0,0,0,0,448009,1122882,646078,7145068
321,”05,411000,0,61650,15300,0,0,11295,0,12801,0,0,0,512046,1346500,756133,8247185
322,”04,395800,12800,61290,9800,4200,6300,14500,11745,8700,0,0,0,525135,1291491,724527,8317638
323,”03,364200,14000,56730,0,13081,0,0,0,667,0,0,0,448678,1199898,666593,7250627
324,”03,364200,25600,58470,9800,4200,2550,13344,18015,10005,0,0,0,506184,1176912,643186,7894306
325,”03,364200,0,54630,0,8693,0,0,0,0,0,0,0,427523,1043375,321059,6494710
326,”05,411000,21800,64920,9800,22567,0,7981,0,0,0,0,0,538068,1354851,756673,8568340
327,”04,387900,0,58185,30100,13362,0,46189,0,0,0,0,0,535736,1158553,666593,8253978
328,”07,450932,39600,87143,28000,16447,0,0,0,0,90423,0,0,712545,1607400,889045,11046985
329,”05,411000,0,61650,0,2000,0,15060,0,0,0,0,0,489710,1305618,754436,7936574
330,”04,395800,0,59370,0,4200,0,36250,0,0,0,0,0,495620,1236505,715058,7899003
331,”03,364200,0,54630,30100,7380,0,6672,0,0,0,0,0,462982,1122984,646993,7325761
334,”03,364200,14000,56730,9800,12900,600,14011,10809,8671,0,0,0,491721,1174909,642577,7718138
335,”04,395800,29600,63810,9800,10000,500,18125,0,8700,0,0,0,536335,1339700,723753,8499473
336,”05,411000,34600,66840,15300,0,0,26355,0,0,0,0,0,554095,1378333,746335,8773808
337,”03,353100,0,52965,9800,7100,0,24582,27944,0,0,0,0,475491,1120354,644684,7470930
338,”03,364200,0,54630,0,32369,0,0,0,0,0,0,0,451199,1122016,646460,7182864
339,”03,364200,29000,58980,9800,10000,0,10008,10809,6003,0,0,0,498800,1199646,642044,7827290
340,”05,411000,14000,63750,9800,5170,0,11295,0,0,0,0,0,515015,1386865,755593,8322638
341,”04,395800,0,59370,28000,13776,0,39875,0,0,0,0,0,536821,1268860,732887,8443599
342,”06,432800,0,77250,9800,25137,0,0,0,0,82200,0,0,627187,1418849,821148,9766241
343,”05,411000,0,61650,9800,9776,0,3765,0,0,0,0,0,495991,1306739,755053,8013684
344,”06,432800,14000,79350,9800,9238,0,0,0,0,82200,0,0,627388,1463342,822927,9814925
346,”05,411000,33100,66615,9800,2000,0,7530,0,0,0,0,0,530045,1390705,755593,8506838
347,”04,395800,14000,61470,9800,7100,0,7250,0,0,0,0,0,495420,1313577,734744,7993361
348,”06,416600,14000,76920,9800,4405,0,0,0,0,82200,0,0,603925,1349064,755593,9351757
349,”07,456200,0,82200,0,3876,0,0,0,0,91800,0,0,634076,1503077,870219,9982208
350,”06,432800,14000,79350,9800,11256,0,0,0,0,82200,0,0,629406,1506178,825701,9884751
351,”03,364200,0,54630,0,5170,0,0,0,0,0,0,0,424000,1121049,645927,6854976
352,”06,430900,26800,80985,9800,4200,0,0,0,0,82200,0,4000,638885,1485689,814010,9966319
353,”04,395800,0,59370,15300,4200,0,53940,0,0,0,0,0,528610,1159041,123920,7626281
354,”03,364200,0,54630,30100,3876,0,16947,0,0,0,0,0,469753,1112896,641435,7391367
355,”06,426600,0,76320,9800,14521,0,0,0,0,82200,0,0,609441,1389913,804464,9507669
356,”03,364200,0,54630,9800,14008,0,28423,25221,0,0,0,0,496282,1112896,641435,7709715
357,”06,416600,29600,79260,9800,10000,0,0,0,0,82200,0,0,627460,1374004,743849,9647373
358,”05,411000,20600,64740,9800,7170,0,0,0,0,0,0,0,513310,1347425,743849,8250994
359,”05,411000,0,61650,9800,3876,0,49396,0,0,0,0,0,535722,1286588,743849,8459101
360,”03,364200,0,54630,0,12102,0,17481,0,0,0,0,0,448413,1112896,641435,7135287
361,”03,364200,25600,58470,9800,19949,0,6672,0,0,0,0,0,484691,1204253,650115,7670660
362,”05,411000,0,61650,28000,7100,0,0,0,0,0,0,0,507750,1301417,752121,8146538
363,”07,459200,7800,83820,9800,14280,0,0,0,0,91800,0,0,666700,1588438,911179,10500017
364,”06,426600,34600,81510,9800,20143,0,0,0,0,82200,0,0,654853,1488740,802616,10149592
365,”04,395800,29600,63810,9800,22786,0,0,0,0,0,0,0,521796,1342650,725379,8329581
366,”06,432800,0,77250,9800,14521,0,0,0,0,82200,0,0,616571,1412513,817469,9628834
367,”06,432800,12800,79170,9800,4200,0,0,0,0,82200,0,0,620970,1473350,817469,9742459
368,”05,411000,16200,64080,15300,4200,0,22590,0,0,0,0,0,533370,1355561,755593,8511594
369,”07,438400,20600,82620,9800,19303,0,0,0,0,91800,0,0,662523,1473102,825701,10249079
370,”04,395800,0,59370,0,15509,0,56410,0,0,0,0,0,527089,1269983,733506,8328557
371,”08,478200,29000,92580,9800,15210,0,0,0,0,110000,0,0,734790,1429699,1173451,11420630
372,”06,432800,47100,84315,9800,29343,0,0,0,0,82200,0,0,685558,1551611,817469,10595776
373,”05,411000,26800,65670,9800,14280,220,83278,0,0,0,0,0,611048,1423687,755053,9511316
374,”03,364200,0,54630,30100,2000,0,53778,0,0,0,0,0,504708,1112896,641435,7810827
376,”03,353100,0,52965,15300,0,330,3234,0,0,0,0,0,424929,1116701,642672,6858521
377,”04,369300,26800,59415,9800,24066,0,0,0,0,0,0,0,489381,1168825,627782,7669179
378,”03,353100,26800,56985,9800,26726,0,0,0,0,0,0,0,473411,1242217,647393,7570542
379,”03,353100,0,52965,9800,23121,0,23286,0,0,0,0,0,462272,1097969,632350,7277583
380,”03,353100,14000,55065,9800,10000,2500,47220,27944,0,0,0,0,519629,1138348,631818,8005714
381,”03,353100,0,52965,9800,12900,0,24582,27944,0,0,0,0,481291,1141568,646697,7563757
382,”04,369300,0,55395,9800,7100,3240,34235,0,0,0,0,0,479070,1126534,648090,7523464
385,”04,386600,0,57990,0,0,0,29182,0,0,0,0,0,473772,1121049,645927,7452240
386,”03,364200,25600,58470,15300,2000,0,10008,0,0,0,0,0,475578,1196652,645927,7549515
387,”04,395100,0,59265,15300,4200,0,39809,0,0,0,0,0,513674,1226103,709055,8099246
388,”03,364200,0,54630,9800,12900,4050,14011,39633,12673,0,0,0,511897,1112896,641435,7897095
389,”06,416600,26800,78840,15300,8976,0,0,0,0,82200,0,4000,632716,1386865,755593,9735050
