№,級,給料月額,扶養手当月額,地域手当月額,住居手当月額,通勤手当月額,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
15,”03,353100,0,52965,30100,4200,0,0,0,0,0,0,0,440365,1135244,652889,7072513
22,”08,461669,11200,87182,9800,10000,0,0,0,0,108350,0,0,688201,1542630,873709,10674751
23,”03,364200,0,54630,0,2000,0,40032,0,0,0,0,0,460862,1172320,674178,7376842
24,”05,411000,14000,63750,15300,10040,0,0,0,0,0,0,0,514090,1325081,765160,8259321
26,”05,411000,7800,62820,0,15606,0,0,0,0,0,0,0,497226,1344054,677137,7987903
27,”06,426308,0,76091,15300,3876,0,0,0,0,80967,0,0,602542,1449355,816594,9496453
28,”05,411000,14000,63750,9800,21998,0,15060,0,0,0,0,0,535608,1360264,761765,8549325
29,”05,411000,21800,64920,9800,13547,0,23944,0,0,0,0,0,545011,1380781,760377,8681290
31,”03,364200,39600,60570,9800,4200,3000,10008,0,9338,0,0,0,500716,1283649,671082,7963323
34,”03,364200,0,54630,0,2000,0,73392,0,0,0,0,0,494222,1172320,674178,7777162
35,”03,364200,0,54630,15300,7380,0,80064,0,0,0,0,0,521574,1171196,673559,8103643
36,”04,395800,0,59370,15300,4200,0,73805,0,0,0,0,0,548475,1298462,738614,8618776
41,”03,353100,0,52965,9800,7100,0,0,0,0,0,0,0,422965,1137069,653895,6866544
43,”04,395800,14000,61470,15300,0,0,14500,0,0,0,0,0,501070,1320600,738614,8072054
44,”03,364200,0,54630,9800,4200,0,20016,0,0,0,0,0,452846,1167825,671702,7273679
46,”04,395800,0,59370,0,4200,0,48575,0,0,0,0,0,507945,1281502,739853,8116695
47,”05,411000,0,61650,15300,2000,0,56475,0,0,0,0,0,546425,1316400,760377,8633877
48,”03,364200,0,54630,15300,11620,0,30824,0,0,0,0,0,476574,1170072,672940,7561900
50,”06,426308,11200,77771,9800,17564,0,0,0,0,80967,0,0,623610,1442426,815380,9741126
51,”06,426308,21800,79361,9800,22343,0,0,0,0,80967,0,0,640579,1464502,810295,9961745
56,”03,364200,0,54630,0,2000,0,13344,0,0,0,0,0,434174,1168949,672321,7051358
57,”05,411000,0,61650,15300,4200,0,65058,0,0,0,0,0,557208,1315140,759683,8761319
58,”03,364200,16200,57060,9800,9576,0,110088,0,0,0,0,0,566924,1216791,672321,8692200
60,”04,369300,0,55395,0,7100,3240,42216,0,0,0,0,0,477251,1130748,650412,7508172
61,”03,353100,0,52965,9800,10000,0,0,27944,0,0,0,0,453809,1136367,653508,7235583
62,”03,353100,0,52965,0,4200,0,0,0,0,0,0,0,410265,1129625,649793,6702598
64,”06,426308,14000,78191,9800,10000,0,0,0,0,80967,0,12000,631266,1459235,820086,9854513
67,”03,364200,14000,56730,9800,10000,0,10008,18015,10672,0,0,0,493425,1205798,669843,7796741
69,”03,364200,0,54630,15300,2000,0,10008,10809,10005,0,0,0,466952,1166701,671082,7441207
70,”03,364200,0,54630,0,4200,1650,10008,0,10005,0,0,0,444693,1165577,670463,7172356
71,”07,431824,26800,82356,9800,7100,0,0,0,0,90423,0,0,648303,1489461,815911,10085008
72,”04,369300,26800,59415,15300,2000,0,6766,0,0,0,0,0,479581,1216216,653895,7625083
81,”06,426308,11200,77771,15300,0,0,0,0,0,80967,0,0,611546,1437743,812799,9589094
88,”03,364200,14000,56730,9800,12900,1050,13344,10809,9338,0,0,0,492171,1205798,669843,7781693
89,”08,461669,26800,89522,15300,10681,0,0,0,0,108350,0,0,712322,1620855,870597,11039316
