№,級,給料月額,扶養手当月額,地域手当月額,住居手当月額,通勤手当月額,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
179,”04,370600,14000,57690,15300,2000,0,10185,0,0,0,0,0,469775,1097628,649703,7384631
180,”04,395800,0,59370,0,12492,0,72500,0,0,0,0,0,540162,1301785,801098,8584827
181,”04,389200,26800,62400,0,2000,0,36504,0,0,0,0,0,516904,1280078,787740,8270666
185,”04,389200,0,58380,0,4200,0,81995,0,0,0,0,0,533775,1280078,787740,8473118
186,”03,364200,0,54630,15300,4200,0,0,0,0,0,0,0,438330,1088957,670127,7019044
191,”06,420500,26800,79425,9800,15943,0,0,0,0,82200,0,0,634668,1549136,904002,10069154
192,”06,426307,0,76091,15300,0,0,0,0,0,80967,0,0,598665,1539777,921794,9645551
193,”03,353100,0,52965,9800,12900,0,0,27944,0,0,0,0,456709,1055768,649703,7185979
194,”05,411000,12800,63570,9800,8113,0,37650,0,0,0,0,0,542933,1390050,831863,8737109
195,”06,426307,14000,78191,9800,7100,0,0,0,0,80967,0,0,616365,1539777,921794,9857951
196,”05,411000,12800,63570,15300,2000,160,0,0,0,0,0,0,504830,1390050,831863,8279873
198,”06,432800,14000,79350,0,2000,0,0,0,0,82200,0,0,610350,1562100,935532,9821832
199,”05,411000,14000,63750,9800,12781,0,45180,0,0,0,0,0,556511,1431910,831863,8941905
200,”04,395800,34600,64560,15300,10998,0,7975,0,0,0,0,0,529233,1415804,801098,8567698
202,”04,370600,26800,59610,9800,27038,0,46026,29328,0,0,0,0,569202,1243628,715998,8790050
203,”04,370600,34600,60780,15300,4200,0,0,0,0,0,0,0,485480,1266951,715998,7808709
204,”08,471026,14000,89006,15300,8838,0,0,0,0,108350,0,0,706520,1501757,1366360,11346357
205,”07,452311,0,81410,9800,4200,0,0,0,0,90423,0,0,638144,1618123,995767,10271618
206,”06,410449,0,73712,0,12492,0,0,0,0,80967,0,0,577620,1319546,812028,9063014
207,”08,471026,26800,90926,15300,6805,0,0,0,0,108350,0,0,719207,1534141,1333034,11497659
208,”06,426307,14000,78191,9800,5170,0,0,0,0,80967,0,0,614435,1539777,921794,9834791
209,”08,471026,14000,89006,15300,0,0,0,0,0,108350,0,0,697682,1501757,1366360,11240301
210,”07,433104,0,78528,15300,3876,0,0,0,0,90423,0,0,621231,1497917,921794,9874483
211,”07,452311,14000,83510,9800,4666,0,0,0,0,90423,0,0,654710,1659982,995767,10512269
212,”08,471026,12800,88826,0,4200,0,0,0,0,108350,0,0,685202,1531105,1333034,11086563
213,”07,451720,14000,83421,15300,4200,0,0,0,0,90423,0,0,659064,1657915,1025574,10592257
215,”08,471026,14000,89006,9800,5170,0,0,0,0,108350,0,0,697352,1501757,1333034,11203015
216,”03,364200,14000,56730,9800,8806,0,0,0,0,0,0,0,453536,1130817,670127,7243376
217,”07,433104,14000,80628,15300,2000,0,0,0,0,90423,0,0,635455,1539777,921794,10087031
218,”04,395800,26800,63390,9800,12493,0,7250,0,0,0,0,0,515533,1420190,801098,8407684
219,”08,462654,0,85650,15300,2000,0,0,0,0,108350,0,0,673954,1618123,995767,10701338
220,”05,411000,14000,63750,15300,7452,0,11295,0,0,0,0,0,522797,1431910,831863,8537337
221,”05,411000,12800,63570,15300,2000,0,15060,0,0,0,0,0,519730,1390050,831863,8458673
223,”03,364200,0,54630,15300,8616,0,0,0,0,0,0,0,442746,1088957,670127,7072036
224,”03,364200,0,54630,28000,3876,0,36696,0,0,0,0,0,487402,1088957,670127,7607908
225,”03,364200,0,54630,9800,8335,0,0,0,0,0,0,0,436965,1127229,670127,7040936
226,”06,432800,12800,79170,15300,4200,0,0,0,0,82200,0,0,626470,1558512,964767,10040919
227,”05,402400,0,60360,9800,4200,0,67232,0,0,0,0,0,543992,1319546,812028,8659478
228,”03,364200,11200,56310,30100,10206,0,27488,0,0,0,0,0,499504,1122445,670127,7786620
229,”05,403700,0,60555,0,4200,0,44376,0,0,0,0,0,512831,1319546,812028,8285546
230,”03,364200,0,54630,9800,2000,0,24152,0,0,0,0,0,454782,1088957,670127,7216468
231,”04,370600,26800,59610,15300,2000,0,29462,0,0,0,0,0,503772,1281900,715998,8043162
232,”08,471026,14000,89006,9800,17211,0,0,0,0,108350,0,0,709393,1501757,1333034,11347507
233,”03,364200,14000,56730,15300,4200,450,10008,0,6670,0,0,0,471558,1130817,670127,7459640
234,”05,411000,14000,63750,9800,7100,300,11295,12198,8283,0,0,0,537726,1431910,831863,8716485
235,”05,411000,39600,67590,15300,8532,12000,15813,0,12801,0,0,0,582636,1470182,831863,9293677
236,”06,413010,14000,76196,9800,7100,150,0,0,0,80967,0,12000,613223,1489310,890738,9738724
237,”03,353100,14000,55065,9800,7100,0,24582,27944,0,0,0,0,491591,1097628,649703,7646423
239,”04,389200,26800,62400,9800,4200,2850,27094,42350,12121,0,0,0,576815,1360210,787740,9069730
240,”06,421185,0,75322,9800,2000,800,0,0,0,80967,0,4000,594074,1480305,910957,9520150
241,”03,364200,14000,56730,9800,12900,240,33359,10809,10672,0,0,0,512710,1169089,670127,7991736
244,”05,411000,0,61650,28000,7100,0,61293,32528,0,0,0,0,601571,1351778,831863,9402493
245,”05,403700,33100,65520,15300,4200,11340,28842,0,10360,0,0,0,572362,1418515,812028,9098887
246,”03,353100,21800,56235,9800,10000,0,0,0,0,0,0,0,450935,1120950,649703,7181873
247,”03,353100,14000,55065,9800,10000,500,24582,27944,0,0,0,0,494991,1097628,649703,7687223
249,”04,395800,14000,61470,0,4405,0,18415,27405,0,0,0,0,521495,1343646,801098,8402684
250,”04,384800,34600,62910,9800,2000,1800,14805,0,9165,0,0,0,519880,1192411,670127,8101098
251,”07,452311,14000,83510,15300,7080,0,0,0,0,90423,0,0,662624,1659982,995767,10607237
252,”05,411000,14000,63750,9800,4200,8100,19578,44726,10542,0,0,0,585696,1393638,831863,9253853
